State,Type,Name,Office,Party,Incumbent,cm_url
Georgia,Federal,Liz Johnson,U.S. House Georgia District 12,Democratic,N,https://www.linkedin.com/in/lizstilesjohnson
Georgia,Federal,Marcus Flowers,U.S. House Georgia District 13,Democratic,N,https://www.linkedin.com/in/marcus-flowers-04572611
Georgia,State,Jenny Enderlin,Georgia State Senate District 6,Democratic,N,https://www.linkedin.com/in/urooj-n-796b7618a?trk=public_profile_browsemap
Georgia,State,Ed Harbison,Georgia State Senate District 15,Democratic,Y,https://www.linkedin.com/in/ed-harbison-2467216b
Georgia,State,Amili Blake,Georgia State Senate District 16,Democratic,N,https://www.linkedin.com/in/emilywatts0373
Georgia,State,Tracey Verhoeven,Georgia State Senate District 21,Democratic,N,https://www.linkedin.com/in/tracey-verhoeven-877416ab
Georgia,State,David Lucas Sr.,Georgia State Senate District 26,Democratic,Y,https://www.linkedin.com/in/david-lucas-b20b14a
Georgia,State,Donzella James,Georgia State Senate District 28,Democratic,Y,https://www.linkedin.com/in/gregory-kennedy-78100625
Georgia,State,Wanda Cooper,Georgia State Senate District 30,Democratic,N,https://www.linkedin.com/in/wanda-cooper-736b4670
Georgia,State,Tyriq T. Jackson,Georgia State Senate District 34,Democratic,N,https://www.linkedin.com/in/kimberly-s-jackson-2485774
Georgia,State,Xe Ross,Georgia State Senate District 34,Democratic,N,https://www.linkedin.com/in/antoinette-ross-24473410
Georgia,State,Nan Orrock,Georgia State Senate District 36,Democratic,Y,https://www.linkedin.com/in/lilliangovus
Georgia,State,Michel Powell,Georgia State Senate District 36,Democratic,N,https://www.linkedin.com/in/michael-powell-a5980a5
Georgia,State,Nate Green,Georgia State Senate District 38,Democratic,N,https://www.linkedin.com/in/nate-greene-b6483832
Georgia,State,Richard N. Wright,Georgia State Senate District 38,Democratic,N,https://www.linkedin.com/in/richard-e-wright
Georgia,State,Sally Harrell,Georgia State Senate District 40,Democratic,Y,https://www.linkedin.com/in/ellen-schwartz-10ba994
Georgia,State,Kacy D. Morgan,Georgia State Senate District 42,Democratic,N,https://www.linkedin.com/in/charlesem
Georgia,State,Iris Hamilton,Georgia State Senate District 55,Democratic,N,https://www.linkedin.com/in/irishamilton-com
Georgia,State,Osborn Murray III,Georgia State Senate District 55,Democratic,N,https://www.linkedin.com/in/chuck-payne-47282663
Georgia,State,Mitchell Simmons,Georgia House of Representatives District 21,Democratic,N,https://www.linkedin.com/in/malloryblount
Georgia,State,Randye Dugan,Georgia House of Representatives District 24,Democratic,N,https://www.linkedin.com/in/mike-dugan-b68746b
Georgia,State,Kim Floria,Georgia House of Representatives District 30,Democratic,N,https://www.linkedin.com/in/jake-field-77a1a9146
Georgia,State,James Ryner,Georgia House of Representatives District 36,Democratic,N,https://www.linkedin.com/in/jamesfryner1350
Georgia,State,Mary Frances Williams,Georgia House of Representatives District 37,Democratic,Y,https://www.linkedin.com/in/mary-frances-williams-213aa5172
Georgia,State,Martine Maignan,Georgia House of Representatives District 38,Democratic,N,https://www.linkedin.com/in/martin-maignan-04209083
Georgia,State,Montenia Edwards,Georgia House of Representatives District 40,Democratic,N,https://www.linkedin.com/in/angelique-edwards-4a8685106
Georgia,State,Debra Shigley,Georgia House of Representatives District 47,Democratic,N,https://www.linkedin.com/in/jillian-paige-hicks-889229199
Georgia,State,Charles Squires,Georgia House of Representatives District 49,Democratic,N,https://www.linkedin.com/in/squirescharlie
Georgia,State,Park Cannon,Georgia House of Representatives District 58,Democratic,Y,https://www.linkedin.com/in/austin-a-heller-292b551b2
Georgia,State,De'Lonn Brown,Georgia House of Representatives District 61,Democratic,N,https://www.linkedin.com/in/de-lonn-brown-msm-ccmp-86376323
Georgia,State,Robert Dawson,Georgia House of Representatives District 65,Democratic,N,https://www.linkedin.com/in/dawsonrobertl
Georgia,State,Lydia Glaize,Georgia House of Representatives District 67,Democratic,Y,https://www.linkedin.com/in/lydia-glaize-7417a92b0
Georgia,State,Robert Flournoy Jr.,Georgia House of Representatives District 74,Democratic,N,https://www.linkedin.com/in/robert-flournoy-jr-15a14aa?trk=public_profile_browsemap_profile-result-card_result-card_full-click
Georgia,State,Maggy Martinez,Georgia House of Representatives District 74,Democratic,N,https://www.linkedin.com/in/maggy-martinez1a
Georgia,State,Demetrius Douglas,Georgia House of Representatives District 78,Democratic,Y,https://www.linkedin.com/in/demetrius-douglas-b7260b76
Georgia,State,Mishael White,Georgia House of Representatives District 81,Democratic,N,https://www.linkedin.com/in/michael-white-gsu
Georgia,State,Rhonda Taylor,Georgia House of Representatives District 92,Democratic,Y,https://www.linkedin.com/in/rhonda-taylor-56428830
Georgia,State,Sonia Lopez,Georgia House of Representatives District 96,Democratic,N,https://www.linkedin.com/in/sonialopez-cruz
Georgia,State,Neva Thompson,Georgia House of Representatives District 96,Democratic,N,https://www.linkedin.com/in/neva-thompson-85773110b
Georgia,State,Jennifer Ambler,Georgia House of Representatives District 100,Democratic,N,https://www.linkedin.com/in/jodybarr
Georgia,State,Regina Lewis-Ward,Georgia House of Representatives District 115,Democratic,Y,https://www.linkedin.com/in/regina-lewis-23109824
Georgia,State,L C Myles Jr.,Georgia House of Representatives District 126,Democratic,N,https://www.linkedin.com/in/georgia-davies-045a361a7
