,State,Type,Name,Office,Party,Status
65,Alabama,Unknown,Billy Todd,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary
66,Alabama,Unknown,Sarah Stewart,Alabama Supreme Court Chief Justice,Republican,On the BallotGeneral
67,Alabama,Unknown,Greg Griffin,Alabama Supreme Court Chief Justice,Democratic,On the BallotGeneral
68,Alabama,Unknown,Bryan Taylor,Alabama Supreme Court Chief Justice,Republican,LostPrimary
69,Alabama,Unknown,Jay MitchellIncumbent,Alabama Supreme Court,Republican,On the BallotGeneral
70,Alabama,Unknown,Chris McCool,Alabama Supreme Court,Republican,On the BallotGeneral
71,Alabama,Unknown,William SellersIncumbent,Alabama Supreme Court,Republican,On the BallotGeneral
72,Alabama,Unknown,Tommy BryanIncumbent,Alabama Supreme Court,Republican,On the BallotGeneral
73,Alabama,Unknown,Chad HansonIncumbent,Alabama Court of Civil Appeals,Republican,On the BallotGeneral
74,Alabama,Unknown,Stephen Davis Parker,Alabama Court of Civil Appeals,Republican,LostPrimary
75,Alabama,Unknown,Christy Olinger EdwardsIncumbent,Alabama Court of Civil Appeals,Republican,On the BallotGeneral
76,Alabama,Unknown,Terry A. MooreIncumbent,Alabama Court of Civil Appeals,Republican,On the BallotGeneral
77,Alabama,Unknown,J. William ColeIncumbent,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral
78,Alabama,Unknown,Rich Anderson,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral
79,Alabama,Unknown,Thomas Govan,Alabama Court of Criminal Appeals,Republican,LostPrimary
80,Alabama,Unknown,Richard MinorIncumbent,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral
81,Alabama,Local,Jackie Anderson-SmithIncumbent,Jefferson County Circuit Clerk,Democratic,On the BallotGeneral
82,Alabama,Local,Sarah Conkle,Jefferson County Circuit Clerk,Democratic,LostPrimary
83,Alabama,Local,Angela Webb Weinberg,Jefferson County Treasurer,Democratic,On the BallotGeneral
84,Alabama,Local,Rod HoneycuttIncumbent,Jefferson County Constable District 15,Republican,On the BallotPrimary
85,Alabama,Local,Larry Woods,Jefferson County Constable District 15,Republican,On the BallotPrimary
86,Alabama,Local,Joe WilliamsIncumbent,Jefferson County Constable District 16,Republican,On the BallotGeneral
87,Alabama,Local,Stephen MoseleyIncumbent,Jefferson County Constable District 44,Republican,On the BallotGeneral
88,Alabama,Local,Tim AndersIncumbent,Jefferson County Constable District 45,Republican,On the BallotGeneral
89,Alabama,Local,Keith Hall,Jefferson County Constable District 46,Republican,On the BallotGeneral
90,Alabama,Local,Gilbert Douglas IIIIncumbent,Jefferson County Constable District 47,Republican,On the BallotGeneral
91,Alabama,Local,Robert De Buys,Jefferson County Constable District 48,Republican,On the BallotGeneral
92,Alabama,Local,Ronnie DixonIncumbent,Jefferson County Constable District 51,Republican,On the BallotGeneral
93,Alabama,Local,Andre Bennett,Jefferson County Constable District 51,Democratic,On the BallotGeneral
94,Alabama,Local,Valencia MooreIncumbent,Jefferson County Constable District 52,Democratic,On the BallotPrimary Runoff
95,Alabama,Local,Richmond Williams,Jefferson County Constable District 52,Democratic,On the BallotPrimary Runoff
96,Alabama,Local,Brian Lacey,Jefferson County Constable District 52,Democratic,LostPrimary
97,Alabama,Local,Demetri Williams,Jefferson County Constable District 52,Democratic,LostPrimary
98,Alabama,Local,Jeremy Howard,Jefferson County Constable District 54,Democratic,On the BallotGeneral
99,Alabama,Local,Ken Gray Sr.,Jefferson County Constable District 55,Republican,On the BallotGeneral
100,Alabama,Local,Travlyn Mosely,Jefferson County Constable District 55,Democratic,On the BallotPrimary
101,Alabama,Local,Joshua Raby,Jefferson County Constable District 55,Democratic,On the BallotPrimary
102,Alabama,Local,Cheryl Hamilton Long,Jefferson County Constable District 56,Democratic,On the BallotGeneral
103,Alabama,Local,Lanita Neal,Jefferson County Constable District 56,Democratic,LostPrimary
104,Alabama,Local,Abdul Alwahiid,Jefferson County Constable District 57,Democratic,On the BallotGeneral
105,Alabama,Local,Eric Moore,Jefferson County Constable District 57,Democratic,LostPrimary
106,Alabama,Local,Jasmaine Deloach,Jefferson County Constable District 58,Democratic,On the BallotGeneral
107,Alabama,Local,Frederick BurkesIncumbent,Jefferson County Constable District 58,Democratic,LostPrimary
108,Alabama,Local,Caleb Florence Sr.,Jefferson County Constable District 58,Democratic,LostPrimary
109,Alabama,Local,Colvin Sellers,Jefferson County Constable District 58,Democratic,LostPrimary
110,Alabama,Local,James Franklin,Jefferson County Constable District 59,Democratic,On the BallotGeneral
111,Alabama,Local,Wanda BryantIncumbent,Jefferson County Constable District 60,Democratic,On the BallotPrimary Runoff
112,Alabama,Local,Leo Taylor Jr.,Jefferson County Constable District 60,Democratic,On the BallotPrimary Runoff
113,Alabama,Local,Vic Langford,Jefferson County Constable District 60,Democratic,LostPrimary
114,Alabama,Local,Lonnie Parsons,Mobile County Public School System District 1,Republican,On the BallotGeneral
115,Alabama,Local,Grant Morring,Mobile County Public School System District 1,Republican,LostPrimary
116,Alabama,Local,Don StringfellowIncumbent,Mobile County Public School System District 2,Republican,On the BallotGeneral
117,Alabama,Local,Phillip Brown,"Jefferson County School District, District 1",Republican,On the BallotGeneral
118,Alabama,Local,Walt Curry,"Jefferson County School District, District 1",Democratic,On the BallotGeneral
119,Alabama,Local,Robert Durough,"Jefferson County School District, District 2",Republican,On the BallotGeneral
120,Alabama,Local,Sultana Godwin,"Jefferson County School District, District 2",Democratic,On the BallotGeneral
121,Alabama,Local,David CarpenterIncumbent,Alabama 10th Judicial Circuit Place 5,Democratic,On the BallotGeneral
122,Alabama,Local,Minnie Tunstall,Alabama 10th Judicial Circuit Place 5,Democratic,LostPrimary
123,Alabama,Local,Charles Price II,Alabama 10th Judicial Circuit Place 6,Democratic,On the BallotGeneral
124,Alabama,Local,Tiara Hudson,Alabama 10th Judicial Circuit Place 7,Democratic,On the BallotGeneral
125,Alabama,Local,Marshell Jackson HatcherIncumbent,Alabama 10th Judicial Circuit Place 8,Democratic,On the BallotGeneral
126,Alabama,Local,Shera Craig Grant,Alabama 10th Judicial Circuit Place 9,Democratic,On the BallotGeneral
127,Alabama,Local,Doug Roy,Alabama 10th Judicial Circuit Place 13,Republican,On the BallotGeneral
128,Alabama,Local,Frederic Bolling,Alabama 10th Judicial Circuit Place 13,Democratic,On the BallotPrimary
129,Alabama,Local,Charity Gilchrist-Davis,Alabama 10th Judicial Circuit Place 13,Democratic,On the BallotPrimary
130,Alabama,Local,Patricia Ann StephensIncumbent,Alabama 10th Judicial Circuit Place 15,Democratic,On the BallotGeneral
